Id. Interno;Act;Syn;Código;Descripción;Medida;U. Venta;Color;I.V.A.;Non.;Prec. Final;Cal.;MxC ;Agr.;Cod.Art.Prov;Grupo;Línea;Marca;Coleccion;Proveedor;U. Compra;P. Lista;Costo Fin;Pei;Emb.;CxPall.;MxPall.;Cod. Barra;Observacion
1103701;1;;93             ;Copa Carre ;;Generica;;IVA 21%;$   ;3.500,00;;0,000;;;Generico;Generico;;;Griferias Cobra S.R.L. - ;;380,000;840,000;;;0;0,000;9002490100070;;
3601;1;;3601           ;Familia Furlotti Malbec;;Generica;;IVA 21%;$   ;1.200,01;;0,000;;;Vino Tinto;Malbec;;;Bodega Furlotti S.A. - Furlotti ;;330,578;600,000;;;0;0,000;9;;
1281001;1;;10027          ;Bulldog Gin;;Generica;;IVA 21%;$   ;40.170,00;;0,000;;;Destilados;Gin;;;Bouchee Bebidas S.R.L. - Bouchee ;;1851,240;5060,000;;;0;0,000;897076002010;;
1184401;1;;4919           ;Tinto Negro Limestone Block (P16);;Generica;;IVA 21%;$   ;1.215,00;;0,000;;;Vino Tinto;Malbec;;;El Garage de Aldo S.R.L - El Garage de Aldo ;;303,718;608,000;;;0;0,000;894190055236;;
1184301;1;;4918           ;Tinto Negro Cabernet Franc;;Generica;;IVA 21%;$   ;1.020,01;;0,000;;;Vino Tinto;Cabernet Franc;;;El Garage de Aldo S.R.L - El Garage de Aldo ;;0,000;610,000;;;0;0,000;894190055168;;
1170601;1;;4916           ;Tinto Negro Sangiovese;;Generica;;IVA 21%;$   ;840,01;;0,000;;;Vino Tinto;Sangiovese;;;El Garage de Aldo S.R.L - El Garage de Aldo ;;0,000;420,000;;;0;0,000;894190055090;;
1110001;1;;5601           ;Marchiori & Barraud Malbec;;Generica;;IVA 21%;$   ;14.200,00;;0,000;;;Vino Tinto;Malbec;;;Almic S.A. - ;;1611,570;1305,000;;;0;0,000;891518001241;;
1110101;1;;5602           ;Marchiori & Barraud Cabernet Sauvignon;;Generica;;IVA 21%;$   ;14.200,00;;0,000;;;Vino Tinto;Cabernet Sauvignon;;;Almic S.A. - ;;1611,570;1305,000;;;0;0,000;891518001234;;
1166701;1;;AÑ7102         ;Cuño Malbec;;Generica;;IVA 21%;$   ;1.800,00;;0,000;;;Vino Tinto;Malbec;;;Tupun - ;;0,000;110,000;;;0;0,000;88797;;
1174501;1;;7320           ;Dorado Malbec;;Generica;;IVA 21%;$   ;75,00;;0,000;;;Vino Tinto;Malbec;;;Vicentin S.A.I.C. - ;;0,000;35,000;;;0;0,000;877046001700;;
