;;;;;;;;;;;
Listado de Precios ;;;;;;;;;;;
;;;;;;;;;;;
Cliente: Sin Establecer;;;;;;;;;;;
;;;;;;;;;;;
Tipo Cliente: Sin Establecer;;;;;;;;;;;
;;;;;;;;;;;
;;;% Comunes;;;Precios Originales;;;Precios con Descuentos;;
Cod Art.;descripcion;U.V.;%I.V.A.;%S.Lis;%Bonif;N.G.;I.V.A;Final;N.G;I.V.A;Final
617            ;Dv Catena Mal Mal;GENERICA;21,00;;;371,90;78,10;450,00;371,90;78,10;450,00
1649           ;Santa Julia Tintillo;GENERICA;21,00;;;288,43;60,57;349,00;288,43;60,57;349,00
864            ;Casa Petrini Tannat;GENERICA;21,00;;;9.917,36;2.082,64;12.000,00;9.917,36;2.082,64;12.000,00
70008          ;Estrella de Los Andes Bonarda;GENERICA;21,00;;;396,69;83,31;480,00;396,69;83,31;480,00
9910           ;Trapezio Vs Cab. Sauv.;GENERICA;21,00;;;900,83;189,17;1.090,00;900,83;189,17;1.090,00
4813           ;Padres Ded. P.  Verdot G. Riili;GENERICA;21,00;;;25.702,48;5.397,52;31.100,00;25.702,48;5.397,52;31.100,00
2715           ;Tapiz Merlot;GENERICA;21,00;;;11.487,60;2.412,40;13.900,00;11.487,60;2.412,40;13.900,00
701            ;Cavas San Julian Blend;GENERICA;21,00;;;11,57;2,43;14,00;11,57;2,43;14,00
6359           ;Miras Reserva Franc;GENERICA;21,00;;;1.527,27;320,73;1.848,00;1.527,27;320,73;1.848,00
7072           ;Foster Reserva Malbec 1,5 Lts.;GENERICA;21,00;;;4.132,23;867,77;5.000,00;4.132,23;867,77;5.000,00
7511           ;Flm Coleccion Cabernet Sauvignon;GENERICA;21,00;;;74,38;15,62;90,00;74,38;15,62;90,00
7602           ;Penitente Malbec;GENERICA;21,00;;;342,98;72,02;415,00;342,98;72,02;415,00
5662           ;Eolo;GENERICA;21,00;;;1.115,70;234,30;1.350,00;1.115,70;234,30;1.350,00
AÑ120          ;Aniello 006 Malbec 2012;GENERICA;21,00;;;822,31;172,69;995,00;822,31;172,69;995,00
2812           ;Monteviejo Segui Amistad;GENERICA;21,00;;;223,14;46,86;270,00;223,14;46,86;270,00
7700           ;Un Mundo Chiquito Bodegas Vistalba;GENERICA;21,00;;;1.157,03;242,98;1.400,00;1.157,03;242,98;1.400,00
4920           ;Manos Negras Stone Soil (P16);GENERICA;21,00;;;966,94;203,06;1.170,00;966,94;203,06;1.170,00
4805           ;Padres Ded. Malbec G. Riili;GENERICA;21,00;;;25.702,48;5.397,52;31.100,00;25.702,48;5.397,52;31.100,00
4713           ;Rama Negra Reserva Malbec;GENERICA;21,00;;;165,29;34,71;200,00;165,29;34,71;200,00
6403           ;Don Nicasio Bonarda Iaccarini;GENERICA;21,00;;;40.743,80;8.556,20;49.300,00;40.743,80;8.556,20;49.300,00
1203           ;Argento Reserve Cabernet Franc;GENERICA;21,00;;;7.933,88;1.666,12;9.600,00;7.933,88;1.666,12;9.600,00
1220           ;Andeluna 1300 Malbec;GENERICA;21,00;;;475,21;99,79;575,00;475,21;99,79;575,00
11207          ;Alchimia Limited Edition Malbec;GENERICA;21,00;;;595,04;124,96;720,00;595,04;124,96;720,00
5663           ;Tirvento Golden Reserve CS;GENERICA;21,00;;;289,26;60,74;350,00;289,26;60,74;350,00
12104          ;Conciliador Malbec Los Maitenes;GENERICA;21,00;;;4.876,03;1.023,97;5.900,00;4.876,03;1.023,97;5.900,00
6946           ;Vallisto Barbera;GENERICA;21,00;;;239,67;50,33;290,00;239,67;50,33;290,00
70012          ;Pont L'Evec Malbec;GENERICA;21,00;;;214,88;45,12;260,00;214,88;45,12;260,00
8802           ;Finca Ambrosia Malbec V. Unica;GENERICA;21,00;;;599,17;125,83;725,00;599,17;125,83;725,00
BDC003         ;Nido del Tigre Ripasso dal Giardino Tinto;GENERICA;21,00;;;14.876,03;3.123,97;18.000,00;14.876,03;3.123,97;18.000,00
5009           ;Desierto 25 Syrah;GENERICA;21,00;;;657,03;137,98;795,00;657,03;137,98;795,00
6326           ;Durigutti Reserva Cabernet Franc;GENERICA;21,00;;;27.768,60;5.831,40;33.600,00;27.768,60;5.831,40;33.600,00
AÑ4918         ;Tinto Negro Cabernet Franc 2014;GENERICA;21,00;;;433,88;91,12;525,00;433,88;91,12;525,00
2431           ;Imago Red Blend;GENERICA;21,00;;;42,98;9,02;52,00;42,98;9,02;52,00
7312           ;Reto Blend;GENERICA;21,00;;;161,16;33,84;195,00;161,16;33,84;195,00
6530           ;Pasion 4 Pinot Noir Joffré;GENERICA;21,00;;;12.479,34;2.620,66;15.100,00;12.479,34;2.620,66;15.100,00
3474           ;Alta Vista Alizarine Malbec;GENERICA;21,00;;;57.024,79;11.975,21;69.000,00;57.024,79;11.975,21;69.000,00
6369           ;Durigutti Plc Cabernet Franc;GENERICA;21,00;;;33.057,85;6.942,15;40.000,00;33.057,85;6.942,15;40.000,00
3327           ;Finca La Linda Smart Blend;GENERICA;21,00;;;144,63;30,37;175,00;144,63;30,37;175,00
2419           ;Paz Malbec;GENERICA;21,00;;;99,17;20,83;120,00;99,17;20,83;120,00
1327           ;Tikal Jubilo Mal-C.Sauv;GENERICA;21,00;;;19.338,84;4.061,16;23.400,00;19.338,84;4.061,16;23.400,00
3507           ;Viniterra Carmenere;GENERICA;21,00;;;107,44;22,56;130,00;107,44;22,56;130,00
1320           ;Animal Syrah;GENERICA;21,00;;;7.851,24;1.648,76;9.500,00;7.851,24;1.648,76;9.500,00
3503           ;Viniterra Select Malbec;GENERICA;21,00;;;173,55;36,45;210,00;173,55;36,45;210,00
1302           ;Animal Colours Malbec;GENERICA;21,00;;;9.355,37;1.964,63;11.320,00;9.355,37;1.964,63;11.320,00
1616           ;Santa Julia Tempranillo;GENERICA;21,00;;;351,24;73,76;425,00;351,24;73,76;425,00
1597           ;Vendimiario Mendoza;GENERICA;21,00;;;483,47;101,53;585,00;483,47;101,53;585,00
1602           ;Zuccardi Seria A Malbec;GENERICA;21,00;;;185,95;39,05;225,00;185,95;39,05;225,00
6356           ;Miras Jovem Malbec;GENERICA;21,00;;;1.198,35;251,65;1.450,00;1.198,35;251,65;1.450,00
147            ;Altocedro Consulta Select Blend;GENERICA;21,00;;;1.404,96;295,04;1.700,00;1.404,96;295,04;1.700,00
633            ;El Enemigo Malbec;GENERICA;21,00;;;276,86;58,14;335,00;276,86;58,14;335,00
7046           ;Lorca Gran Poetico Malbec;GENERICA;21,00;;;3.097,52;650,48;3.748,00;3.097,52;650,48;3.748,00
AÑ34072        ;Alta Vista Bonarda 2009;GENERICA;21,00;;;1.570,25;329,75;1.900,00;1.570,25;329,75;1.900,00
8902           ;Las Nencias Family Selection;GENERICA;21,00;;;393,39;82,61;476,00;393,39;82,61;476,00
6502           ;Rj Distinto Joffré;GENERICA;21,00;;;61.983,47;13.016,53;75.000,00;61.983,47;13.016,53;75.000,00
1924           ;El Porvenir GSM Peq Fermentacion;GENERICA;21,00;;;28.512,40;5.987,60;34.500,00;28.512,40;5.987,60;34.500,00
7115           ;Miss Charlen Cabernet Sauvignon;GENERICA;21,00;;;37,19;7,81;45,00;37,19;7,81;45,00
4768           ;Don Juan Reserva, Las Perdices;GENERICA;21,00;;;69.256,20;14.543,80;83.800,00;69.256,20;14.543,80;83.800,00
5647           ;Benmarco Malbec Susana Balbo;GENERICA;21,00;;;8.246,28;1.731,72;9.978,00;8.246,28;1.731,72;9.978,00
603            ;Alamos Malbec;GENERICA;21,00;;;132,23;27,77;160,00;132,23;27,77;160,00
7085           ;Lorca Gran Poetico Blend;GENERICA;21,00;;;4.033,06;846,94;4.880,00;4.033,06;846,94;4.880,00
3485           ;Los Escasos Petit Verdot Alta Vista;GENERICA;21,00;;;18.181,82;3.818,18;22.000,00;18.181,82;3.818,18;22.000,00
5211           ;Tipo Malbec Opend Mind;GENERICA;21,00;;;7.024,79;1.475,21;8.500,00;7.024,79;1.475,21;8.500,00
4612           ;Viñas de Narvaez Cab. Franc;GENERICA;21,00;;;123,97;26,03;150,00;123,97;26,03;150,00
3509           ;Kaiken Frankly;GENERICA;21,00;;;57.272,73;12.027,27;69.300,00;57.272,73;12.027,27;69.300,00
2782           ;Pulenta Estate Merlot;GENERICA;21,00;;;27.272,73;5.727,27;33.000,00;27.272,73;5.727,27;33.000,00
601            ;Alamos Bonarda;GENERICA;21,00;;;90,91;19,09;110,00;90,91;19,09;110,00
AÑ6513         ;Pasion 4 Bonarda 2010;GENERICA;21,00;;;702,48;147,52;850,00;702,48;147,52;850,00
2736           ;Tapiz Syrah;GENERICA;21,00;;;11.818,18;2.481,82;14.300,00;11.818,18;2.481,82;14.300,00
6209           ;Gouguenheim Pinot Noir;GENERICA;21,00;;;74,38;15,62;90,00;74,38;15,62;90,00
919            ;Los Pasos Syrah-Tempranillo;GENERICA;21,00;;;64,46;13,54;78,00;64,46;13,54;78,00
8709           ;Montes Pinot Noir;GENERICA;21,00;;;15.041,32;3.158,68;18.200,00;15.041,32;3.158,68;18.200,00
6349           ;Durigutti Hd Cab. Sauv.;GENERICA;21,00;;;21.223,14;4.456,86;25.680,00;21.223,14;4.456,86;25.680,00
4932           ;Tinto Negro La Piedra;GENERICA;21,00;;;1.636,36;343,64;1.980,00;1.636,36;343,64;1.980,00
4770           ;Chac Chac Cab. Franc, Las Perdices;GENERICA;21,00;;;1.651,24;346,76;1.998,00;1.651,24;346,76;1.998,00
852            ;S. Uco Calcáreo Granito;GENERICA;21,00;;;1.487,60;312,40;1.800,00;1.487,60;312,40;1.800,00
7606           ;Aldebarán Cabernet Sauvignon;GENERICA;21,00;;;132,23;27,77;160,00;132,23;27,77;160,00
4984           ;Giramundo Cabernet Sauvignon;GENERICA;21,00;;;801,65;168,35;970,00;801,65;168,35;970,00
5666           ;Sottano Reserva Blend;GENERICA;21,00;;;342,98;72,02;415,00;342,98;72,02;415,00
2404           ;Demencial Pinot Noir;GENERICA;21,00;;;9.917,36;2.082,64;12.000,00;9.917,36;2.082,64;12.000,00
5602           ;Marchiori & Barraud Cabernet Sauvignon;GENERICA;21,00;;;11.735,54;2.464,46;14.200,00;11.735,54;2.464,46;14.200,00
1211           ;Ricardo Santos Malbec;GENERICA;21,00;;;7.851,24;1.648,76;9.500,00;7.851,24;1.648,76;9.500,00
6420           ;Don Nicasio Gran Reserva;GENERICA;21,00;;;6.107,44;1.282,56;7.390,00;6.107,44;1.282,56;7.390,00
2015           ;Finca Flichman Expresiones Barrancas;GENERICA;21,00;;;19.008,26;3.991,74;23.000,00;19.008,26;3.991,74;23.000,00
1427           ;Circus Roble Cabernet Sauvignon;GENERICA;21,00;;;31,41;6,60;38,00;31,41;6,60;38,00
2754           ;Tapiz Bicentenario;GENERICA;21,00;;;1.570,25;329,75;1.900,00;1.570,25;329,75;1.900,00
3501           ;Viniterra Single Vineyard Malbec;GENERICA;21,00;;;297,52;62,48;360,00;297,52;62,48;360,00
2804           ;Clos de los Siete;GENERICA;21,00;;;892,56;187,44;1.080,00;892,56;187,44;1.080,00
7402           ;Venerable Cabernet Sauvignon;GENERICA;21,00;;;78,51;16,49;95,00;78,51;16,49;95,00
1658           ;Santa Julia Flores Negras;GENERICA;21,00;;;363,64;76,36;440,00;363,64;76,36;440,00
12055          ;La Chamiza Cabernet Sauvignon;GENERICA;21,00;;;188,43;39,57;228,00;188,43;39,57;228,00
2011           ;Misterio Syrah;GENERICA;21,00;;;132,23;27,77;160,00;132,23;27,77;160,00
2533           ;Saurus Select Pinot Noir;GENERICA;21,00;;;9.371,90;1.968,10;11.340,00;9.371,90;1.968,10;11.340,00
2402           ;Alma Mora Malbec;GENERICA;21,00;;;57,85;12,15;70,00;57,85;12,15;70,00
2401           ;Alma Mora Syrah;GENERICA;21,00;;;39,67;8,33;48,00;39,67;8,33;48,00
1622           ;Santa Julia Rva Malbec-Franc;GENERICA;21,00;;;140,50;29,50;170,00;140,50;29,50;170,00
4947           ;Adrian Rio Single Malbec;GENERICA;21,00;;;301,65;63,35;365,00;301,65;63,35;365,00
2423           ;Mora Negra Estuche;GENERICA;21,00;;;537,19;112,81;650,00;537,19;112,81;650,00
2809           ;Petit Fleur Blend;GENERICA;21,00;;;256,20;53,80;310,00;256,20;53,80;310,00
3713           ;Emilia Malbec Bonarda;GENERICA;21,00;;;31,41;6,60;38,00;31,41;6,60;38,00
9403           ;Carinae Hommage Cabernet Sauvignon;GENERICA;21,00;;;1.652,89;347,11;2.000,00;1.652,89;347,11;2.000,00
8206           ;D. Bousquet Rva Cab. Sauvig.;GENERICA;21,00;;;2.066,12;433,88;2.500,00;2.066,12;433,88;2.500,00
BAT041         ;Serbal Cabernet Franc Atamisque;GENERICA;21,00;;;11.074,38;2.325,62;13.400,00;11.074,38;2.325,62;13.400,00
3107           ;Bodegas Lopez Montchenot 5 Años;GENERICA;21,00;;;2.589,26;543,74;3.133,00;2.589,26;543,74;3.133,00
BAT011         ;Catalpa Merlot Atamisque;GENERICA;21,00;;;18.859,50;3.960,50;22.820,00;18.859,50;3.960,50;22.820,00
2702           ;Doña Paula Cabernet Sauvignon;GENERICA;21,00;;;10.909,09;2.290,91;13.200,00;10.909,09;2.290,91;13.200,00
2416           ;Marianne Cabernet Sauvignon;GENERICA;21,00;;;34,71;7,29;42,00;34,71;7,29;42,00
3725           ;Nieto Senet.  Merlot;GENERICA;21,00;;;42,98;9,02;52,00;42,98;9,02;52,00
3457           ;Melipal Supernova;GENERICA;21,00;;;652,89;137,11;790,00;652,89;137,11;790,00
9223           ;Bressano Malbec Falasco;GENERICA;21,00;;;28.925,62;6.074,38;35.000,00;28.925,62;6.074,38;35.000,00
1224           ;Tercos Cabernet Sauvignon;GENERICA;21,00;;;61,98;13,02;75,00;61,98;13,02;75,00
3306           ;Gala 1;GENERICA;21,00;;;991,74;208,26;1.200,00;991,74;208,26;1.200,00
9999           ;Insolilto Pinot Noir;GENERICA;21,00;;;28.347,11;5.952,89;34.300,00;28.347,11;5.952,89;34.300,00
4741           ;Las Perdices Bib Malbec;GENERICA;21,00;;;34.710,74;7.289,26;42.000,00;34.710,74;7.289,26;42.000,00
7026           ;Lunta Tempranillo;GENERICA;21,00;;;446,28;93,72;540,00;446,28;93,72;540,00
MAS02          ;Mastrantonio 63 Premium Malbec;GENERICA;21,00;;;20.000,00;4.200,00;24.200,00;20.000,00;4.200,00;24.200,00
2823           ;Samchen Merlot;GENERICA;21,00;;;107,44;22,56;130,00;107,44;22,56;130,00
12501          ;Huella Pampa Roble Malbec;GENERICA;21,00;;;4.545,46;954,55;5.500,00;4.545,46;954,55;5.500,00
7122           ;Tupun Reserva Cabernet Franc;GENERICA;21,00;;;371,90;78,10;450,00;371,90;78,10;450,00
2409           ;Finca Las Moras Cabernet Sauvigno;GENERICA;21,00;;;24,79;5,21;30,00;24,79;5,21;30,00
DW09           ;Mahakala Malbec Magnun Dharma;GENERICA;21,00;;;19.834,71;4.165,29;24.000,00;19.834,71;4.165,29;24.000,00
9601           ;Albaflor Blend;GENERICA;21,00;;;314,05;65,95;380,00;314,05;65,95;380,00
7921           ;Finca Ferrer Syrah;GENERICA;21,00;;;11.570,25;2.429,75;14.000,00;11.570,25;2.429,75;14.000,00
